Star ID, Accel ID, X Position, Y Position, Z Position, X Velocity, Y Velocity, Z Velocity, X Accel, Y Accel, Z Accel
3,59,1.772831176,-0.233632476,-10.08151569,0.026987963,-0.009984456,-2.322448561,-9.35E-16,-1.11E-18,2.11E-16
3,60,1.775529973,-0.234630922,-10.31376055,0.026987963,-0.009984456,-2.322448561,-9.20E-16,3.12E-17,1.90E-16
3,61,1.778228769,-0.235629367,-10.5460054,0.026987963,-0.009984456,-2.322448561,-9.04E-16,3.86E-17,1.48E-16
3,62,1.780927565,-0.236627813,-10.77825026,0.026987963,-0.009984456,-2.322448561,-8.91E-16,4.51E-17,1.11E-16
3,63,1.783626361,-0.237626259,-11.01049511,0.026987963,-0.009984456,-2.322448561,-8.81E-16,5.11E-17,7.74E-17
3,64,1.786325158,-0.238624704,-11.24273997,0.026987963,-0.009984456,-2.322448561,-8.73E-16,5.60E-17,5.67E-17
3,65,1.789023954,-0.23962315,-11.47498483,0.026987963,-0.009984456,-2.322448561,-8.70E-16,5.81E-17,3.95E-17
3,66,1.79172275,-0.240621596,-11.70722968,0.026987963,-0.009984456,-2.322448561,-8.66E-16,6.28E-17,1.57E-17
3,67,1.794421546,-0.241620041,-11.93947454,0.026987963,-0.009984456,-2.322448561,-9.75E-16,4.18E-17,4.27E-16
3,68,1.797120343,-0.242618487,-12.17171939,0.026987963,-0.009984456,-2.322448561,-9.62E-16,4.86E-17,3.79E-16
3,69,1.799819139,-0.243616932,-12.40396425,0.026987963,-0.009984456,-2.322448561,-9.72E-16,3.46E-17,4.58E-16
3,70,1.802517935,-0.244615378,-12.63620911,0.026987963,-0.009984456,-2.322448561,-9.38E-16,5.57E-17,2.70E-16
3,71,1.805216731,-0.245613824,-12.86845396,0.026987963,-0.009984456,-2.322448561,-9.32E-16,6.12E-17,2.36E-16
3,72,1.807915528,-0.246612269,-13.10069882,0.026987963,-0.009984456,-2.322448561,-9.27E-16,6.62E-17,2.06E-16
3,73,1.810614324,-0.247610715,-13.33294368,0.026987963,-0.009984456,-2.322448561,-9.24E-16,7.09E-17,1.80E-16
3,74,1.81331312,-0.248609161,-13.56518853,0.026987963,-0.009984456,-2.322448561,-9.16E-16,7.56E-17,1.27E-16
3,75,1.816011917,-0.249607606,-13.79743339,0.026987963,-0.009984456,-2.322448561,-9.15E-16,7.95E-17,1.02E-16
3,76,1.818710713,-0.250606052,-14.02967824,0.026987963,-0.009984456,-2.322448561,-9.10E-16,8.77E-17,6.77E-17
3,77,1.821409509,-0.251604498,-14.2619231,0.026987963,-0.009984456,-2.322448561,-9.11E-16,9.09E-17,5.20E-17
3,78,1.824108305,-0.252602943,-14.49416796,0.026987963,-0.009984456,-2.322448561,-9.12E-16,9.40E-17,3.80E-17
3,79,1.826807102,-0.253601389,-14.72641281,0.026987963,-0.009984456,-2.322448561,-9.06E-16,1.05E-16,-3.27E-18
3,80,1.829505898,-0.254599835,-14.95865767,0.026987963,-0.009984456,-2.322448561,-9.08E-16,1.07E-16,-1.11E-17
3,81,1.832204694,-0.25559828,-15.19090252,0.026987963,-0.009984456,-2.322448561,-5.20E-16,4.88E-17,2.04E-16
3,82,1.83490349,-0.256596726,-15.42314738,0.026987963,-0.009984456,-2.322448561,-8.30E-16,1.16E-16,4.44E-17
3,83,1.837602287,-0.257595172,-15.65539224,0.026987963,-0.009984456,-2.322448561,-8.27E-16,1.21E-16,-1.57E-17
3,84,1.840301083,-0.258593617,-15.88763709,0.026987963,-0.009984456,-2.322448561,-8.32E-16,1.18E-16,2.31E-17
3,85,1.842999879,-0.259592063,-16.11988195,0.026987963,-0.009984456,-2.322448561,-8.33E-16,1.20E-16,2.06E-17
3,86,1.845698675,-0.260590509,-16.3521268,0.026987963,-0.009984456,-2.322448561,-8.34E-16,1.21E-16,1.64E-17
3,87,1.848397472,-0.261588954,-16.58437166,0.026987963,-0.009984456,-2.322448561,-8.35E-16,1.23E-16,1.25E-17
3,88,1.851096268,-0.2625874,-16.81661652,0.026987963,-0.009984456,-2.322448561,-8.36E-16,1.24E-16,1.01E-17
3,89,1.853795064,-0.263585845,-17.04886137,0.026987963,-0.009984456,-2.322448561,-8.37E-16,1.25E-16,8.35E-18
3,90,1.85649386,-0.264584291,-17.28110623,0.026987963,-0.009984456,-2.322448561,-8.38E-16,1.26E-16,4.57E-18
3,91,1.859192657,-0.265582737,-17.51335108,0.026987963,-0.009984456,-2.322448561,-8.39E-16,1.26E-16,2.99E-18
3,92,1.861891453,-0.266581182,-17.74559594,0.026987963,-0.009984456,-2.322448561,-8.40E-16,1.27E-16,2.82E-18
3,93,1.864590249,-0.267579628,-17.9778408,0.026987963,-0.009984456,-2.322448561,-8.60E-16,1.09E-16,9.16E-17
3,94,1.867289045,-0.268578074,-18.21008565,0.026987963,-0.009984456,-2.322448561,-8.60E-16,1.10E-16,9.01E-17
3,95,1.869987842,-0.269576519,-18.44233051,0.026987963,-0.009984456,-2.322448561,-8.63E-16,1.09E-16,1.01E-16
3,96,1.872686638,-0.270574965,-18.67457536,0.026987963,-0.009984456,-2.322448561,-8.63E-16,1.11E-16,9.94E-17
3,97,1.875385434,-0.271573411,-18.90682022,0.026987963,-0.009984456,-2.322448561,-8.60E-16,1.14E-16,5.94E-17
3,98,1.87808423,-0.272571856,-19.13906508,0.026987963,-0.009984456,-2.322448561,-8.63E-16,1.13E-16,1.00E-16
3,99,1.880783027,-0.273570302,-19.37130993,0.026987963,-0.009984456,-2.322448561,-8.63E-16,1.14E-16,1.03E-16
3,100,1.883481823,-0.274568748,-19.60355479,0.026987963,-0.009984456,-2.322448561,-8.63E-16,1.14E-16,1.04E-16
3,101,1.886180619,-0.275567193,-19.83579965,0.026987963,-0.009984456,-2.322448561,-8.73E-16,1.19E-16,1.79E-16
4,1,-2.461803785,-3.038643123,0.25883722,0.012858382,0.127215443,8.851773798,0,0,0
4,2,-2.460517946,-3.025921579,1.1440146,0.012858382,0.127215443,8.851773798,1.18E-14,1.18E-14,1.06E-14
4,3,-2.459232108,-3.013200035,2.02919198,0.012858382,0.127215443,8.851773798,9.46E-15,1.05E-14,1.62E-16
4,4,-2.45794627,-3.00047849,2.91436936,0.012858382,0.127215443,8.851773798,9.63E-15,8.07E-15,-6.38E-16
4,5,-2.456660432,-2.987756946,3.799546739,0.012858382,0.127215443,8.851773798,8.47E-15,6.98E-15,-4.90E-16
4,6,-2.455374594,-2.975035402,4.684724119,0.012858382,0.127215443,8.851773798,6.47E-15,5.80E-15,-1.64E-15
4,7,-2.454088755,-2.962313858,5.569901499,0.012858382,0.127215443,8.851773798,4.69E-15,4.86E-15,-1.69E-15
4,8,-2.452802917,-2.949592313,6.455078879,0.012858382,0.127215443,8.851773798,3.75E-15,4.11E-15,-1.31E-15
4,9,-2.451517079,-2.936870769,7.340256259,0.012858382,0.127215443,8.851773798,3.03E-15,3.57E-15,-1.08E-15
4,10,-2.450231241,-2.924149225,8.225433638,0.012858382,0.127215443,8.851773798,2.36E-15,3.30E-15,-1.01E-15
4,11,-2.448945403,-2.91142768,9.110611018,0.012858382,0.127215443,8.851773798,2.26E-15,3.31E-15,-9.73E-16
4,12,-2.447659564,-2.898706136,9.995788398,0.012858382,0.127215443,8.851773798,1.99E-15,3.00E-15,-1.10E-15
4,13,-2.446373726,-2.885984592,10.88096578,0.012858382,0.127215443,8.851773798,1.75E-15,2.74E-15,-1.00E-15
4,14,-2.445087888,-2.873263047,11.76614316,0.012858382,0.127215443,8.851773798,1.56E-15,2.47E-15,-9.06E-16
4,15,-2.44380205,-2.860541503,12.65132054,0.012858382,0.127215443,8.851773798,1.40E-15,2.27E-15,-8.43E-16
4,16,-2.442516212,-2.847819959,13.53649792,0.012858382,0.127215443,8.851773798,1.27E-15,2.08E-15,-7.94E-16
4,17,-2.441230373,-2.835098415,14.4216753,0.012858382,0.127215443,8.851773798,1.15E-15,1.91E-15,-7.31E-16
4,18,-2.439944535,-2.82237687,15.30685268,0.012858382,0.127215443,8.851773798,1.05E-15,1.76E-15,-6.80E-16
4,19,-2.438658697,-2.809655326,16.19203006,0.012858382,0.127215443,8.851773798,9.53E-16,1.60E-15,-6.30E-16
4,20,-2.437372859,-2.796933782,17.07720744,0.012858382,0.127215443,8.851773798,7.73E-16,1.15E-15,-5.62E-16
4,21,-2.436087021,-2.784212237,17.96238482,0.012858382,0.127215443,8.851773798,6.26E-16,9.76E-16,-5.47E-16
4,22,-2.434801182,-2.771490693,18.8475622,0.012858382,0.127215443,8.851773798,5.70E-16,8.93E-16,-5.04E-16
4,23,-2.433515344,-2.758769149,19.73273958,0.012858382,0.127215443,8.851773798,6.13E-16,9.12E-16,-4.42E-16
4,24,-2.432229506,-2.746047605,20.61791696,0.012858382,0.127215443,8.851773798,5.77E-16,8.51E-16,-4.14E-16
4,25,-2.430943668,-2.73332606,21.50309434,0.012858382,0.127215443,8.851773798,5.72E-16,8.48E-16,-4.40E-16
4,26,-2.42965783,-2.720604516,22.38827172,0.012858382,0.127215443,8.851773798,5.27E-16,7.80E-16,-3.78E-16
4,27,-2.428371991,-2.707882972,23.27344909,0.012858382,0.127215443,8.851773798,4.97E-16,7.30E-16,-3.42E-16
4,28,-2.427086153,-2.695161427,24.15862647,0.012858382,0.127215443,8.851773798,4.69E-16,6.85E-16,-3.10E-16
4,29,-2.425800315,-2.682439883,25.04380385,0.012858382,0.127215443,8.851773798,4.39E-16,6.61E-16,-3.91E-16
4,30,-2.424514477,-2.669718339,25.92898123,0.012858382,0.127215443,8.851773798,4.07E-16,7.43E-16,-4.27E-16
4,31,-2.423228639,-2.656996794,26.81415861,0.012858382,0.127215443,8.851773798,3.85E-16,5.47E-16,-2.43E-16
4,32,-2.4219428,-2.64427525,27.69933599,0.012858382,0.127215443,8.851773798,3.80E-16,5.41E-16,-2.49E-16
4,33,-2.420656962,-2.631553706,28.58451337,0.012858382,0.127215443,8.851773798,4.26E-16,7.30E-16,-4.37E-16
4,34,-2.419371124,-2.618832162,29.46969075,0.012858382,0.127215443,8.851773798,5.97E-16,8.82E-16,-6.01E-16
4,35,-2.418085286,-2.606110617,30.35486813,0.012858382,0.127215443,8.851773798,5.45E-16,8.16E-16,-5.09E-16
4,36,-2.416799448,-2.593389073,31.24004551,0.012858382,0.127215443,8.851773798,5.17E-16,7.75E-16,-4.87E-16
4,37,-2.415513609,-2.580667529,32.12522289,0.012858382,0.127215443,8.851773798,3.59E-16,6.07E-16,-3.11E-16
4,38,-2.414227771,-2.567945984,33.01040027,0.012858382,0.127215443,8.851773798,3.57E-16,6.09E-16,-3.42E-16
4,39,-2.412941933,-2.55522444,33.89557765,0.012858382,0.127215443,8.851773798,4.24E-16,7.03E-16,2.79E-17
4,40,-2.411656095,-2.542502896,34.78075503,0.012858382,0.127215443,8.851773798,3.29E-16,6.36E-16,-5.12E-17
4,41,-2.410370256,-2.529781352,35.66593241,0.012858382,0.127215443,8.851773798,3.44E-16,6.47E-16,-1.05E-17
4,42,-2.409084418,-2.517059807,36.55110979,0.012858382,0.127215443,8.851773798,3.33E-16,6.34E-16,3.50E-18
4,43,-2.40779858,-2.504338263,37.43628717,0.012858382,0.127215443,8.851773798,3.25E-16,6.24E-16,1.00E-17
4,44,-2.406512742,-2.491616719,38.32146455,0.012858382,0.127215443,8.851773798,3.18E-16,6.15E-16,1.63E-17
4,45,-2.405226904,-2.478895174,39.20664193,0.012858382,0.127215443,8.851773798,3.06E-16,5.80E-16,7.05E-17
4,46,-2.403941065,-2.46617363,40.09181931,0.012858382,0.127215443,8.851773798,3.04E-16,5.81E-16,6.23E-17
4,47,-2.402655227,-2.453452086,40.97699669,0.012858382,0.127215443,8.851773798,2.97E-16,5.74E-16,6.55E-17
4,48,-2.401369389,-2.440730541,41.86217407,0.012858382,0.127215443,8.851773798,2.94E-16,5.70E-16,6.03E-17
4,49,-2.400083551,-2.428008997,42.74735145,0.012858382,0.127215443,8.851773798,2.88E-16,5.64E-16,6.27E-17
4,50,-2.398797713,-2.415287453,43.63252883,0.012858382,0.127215443,8.851773798,2.78E-16,5.50E-16,4.96E-17
4,51,-2.397511874,-2.402565909,44.51770621,0.012858382,0.127215443,8.851773798,2.64E-16,5.37E-16,1.65E-17
4,52,-2.396226036,-2.389844364,45.40288359,0.012858382,0.127215443,8.851773798,2.60E-16,5.33E-16,1.81E-17
4,53,-2.394940198,-2.37712282,46.28806097,0.012858382,0.127215443,8.851773798,2.57E-16,5.30E-16,1.95E-17
4,54,-2.39365436,-2.364401276,47.17323835,0.012858382,0.127215443,8.851773798,2.82E-16,5.40E-16,9.06E-17
4,55,-2.392368522,-2.351679731,48.05841573,0.012858382,0.127215443,8.851773798,2.78E-16,5.37E-16,8.81E-17
4,56,-2.391082683,-2.338958187,48.94359311,0.012858382,0.127215443,8.851773798,2.75E-16,5.35E-16,8.77E-17
4,57,-2.389796845,-2.326236643,49.82877049,0.012858382,0.127215443,8.851773798,2.76E-16,5.36E-16,7.81E-17
4,58,-2.388511007,-2.313515098,50.71394787,0.012858382,0.127215443,8.851773798,2.44E-16,5.20E-16,1.66E-17
4,59,-2.387225169,-2.300793554,51.59912525,0.012858382,0.127215443,8.851773798,2.60E-16,5.29E-16,6.09E-17
4,60,-2.385939331,-2.28807201,52.48430263,0.012858382,0.127215443,8.851773798,2.19E-16,3.56E-16,3.49E-17
4,61,-2.384653492,-2.275350466,53.36948001,0.012858382,0.127215443,8.851773798,2.21E-16,3.60E-16,5.81E-17
4,62,-2.383367654,-2.262628921,54.25465739,0.012858382,0.127215443,8.851773798,2.18E-16,3.56E-16,5.85E-17
4,63,-2.382081816,-2.249907377,55.13983477,0.012858382,0.127215443,8.851773798,2.15E-16,3.53E-16,5.87E-17
4,64,-2.380795978,-2.237185833,56.02501215,0.012858382,0.127215443,8.851773798,2.15E-16,3.83E-16,-4.11E-17
4,65,-2.37951014,-2.224464288,56.91018953,0.012858382,0.127215443,8.851773798,2.12E-16,3.78E-16,-3.98E-17
4,66,-2.378224301,-2.211742744,57.79536691,0.012858382,0.127215443,8.851773798,2.09E-16,3.74E-16,-3.88E-17
4,67,-2.376938463,-2.1990212,58.68054429,0.012858382,0.127215443,8.851773798,2.12E-16,3.71E-16,-4.90E-17
4,68,-2.375652625,-2.186299656,59.56572167,0.012858382,0.127215443,8.851773798,2.09E-16,3.67E-16,-4.90E-17
4,69,-2.374366787,-2.173578111,60.45089905,0.012858382,0.127215443,8.851773798,2.07E-16,3.63E-16,-4.98E-17
4,70,-2.373080949,-2.160856567,61.33607643,0.012858382,0.127215443,8.851773798,2.05E-16,3.60E-16,-5.28E-17
4,71,-2.37179511,-2.148135023,62.22125381,0.012858382,0.127215443,8.851773798,2.02E-16,3.56E-16,-5.27E-17
4,72,-2.370509272,-2.135413478,63.10643119,0.012858382,0.127215443,8.851773798,1.99E-16,3.52E-16,-5.36E-17
4,73,-2.369223434,-2.122691934,63.99160857,0.012858382,0.127215443,8.851773798,1.96E-16,3.48E-16,-5.36E-17
4,74,-2.367937596,-2.10997039,64.87678595,0.012858382,0.127215443,8.851773798,1.33E-16,3.11E-16,-1.13E-16
4,75,-2.366651758,-2.097248845,65.76196333,0.012858382,0.127215443,8.851773798,1.24E-16,3.03E-16,-8.13E-17
4,76,-2.365365919,-2.084527301,66.6471407,0.012858382,0.127215443,8.851773798,1.23E-16,3.01E-16,-8.14E-17
4,77,-2.364080081,-2.071805757,67.53231808,0.012858382,0.127215443,8.851773798,1.21E-16,2.98E-16,-8.14E-17
4,78,-2.362794243,-2.059084213,68.41749546,0.012858382,0.127215443,8.851773798,1.19E-16,2.96E-16,-8.15E-17
4,79,-2.361508405,-2.046362668,69.30267284,0.012858382,0.127215443,8.851773798,1.17E-16,2.93E-16,-8.22E-17
4,80,-2.360222567,-2.033641124,70.18785022,0.012858382,0.127215443,8.851773798,1.15E-16,2.91E-16,-8.46E-17
4,81,-2.358936728,-2.02091958,71.0730276,0.012858382,0.127215443,8.851773798,6.06E-17,1.35E-16,-1.20E-17
4,82,-2.35765089,-2.008198035,71.95820498,0.012858382,0.127215443,8.851773798,5.96E-17,1.32E-16,2.99E-17
4,83,-2.356365052,-1.995476491,72.84338236,0.012858382,0.127215443,8.851773798,6.23E-17,1.38E-16,5.98E-17
4,84,-2.355079214,-1.982754947,73.72855974,0.012858382,0.127215443,8.851773798,6.93E-17,1.43E-16,2.76E-17
4,85,-2.353793376,-1.970033403,74.61373712,0.012858382,0.127215443,8.851773798,6.45E-17,1.32E-16,-1.99E-17
4,86,-2.352507537,-1.957311858,75.4989145,0.012858382,0.127215443,8.851773798,6.35E-17,1.31E-16,-1.85E-17
4,87,-2.351221699,-1.944590314,76.38409188,0.012858382,0.127215443,8.851773798,6.23E-17,1.29E-16,-1.03E-17
4,88,-2.349935861,-1.93186877,77.26926926,0.012858382,0.127215443,8.851773798,6.14E-17,1.28E-16,-9.24E-18
4,89,-2.348650023,-1.919147225,78.15444664,0.012858382,0.127215443,8.851773798,1.40E-16,3.68E-16,-1.57E-16
4,90,-2.347364185,-1.906425681,79.03962402,0.012858382,0.127215443,8.851773798,1.37E-16,3.64E-16,-1.59E-16
4,91,-2.346078346,-1.893704137,79.9248014,0.012858382,0.127215443,8.851773798,1.35E-16,3.59E-16,-1.61E-16
4,92,-2.344792508,-1.880982592,80.80997878,0.012858382,0.127215443,8.851773798,1.32E-16,3.54E-16,-1.61E-16
4,93,-2.34350667,-1.868261048,81.69515616,0.012858382,0.127215443,8.851773798,1.29E-16,3.49E-16,-1.47E-16
4,94,-2.342220832,-1.855539504,82.58033354,0.012858382,0.127215443,8.851773798,1.26E-16,3.44E-16,-1.50E-16
4,95,-2.340934994,-1.84281796,83.46551092,0.012858382,0.127215443,8.851773798,1.20E-16,3.37E-16,-1.36E-16
4,96,-2.339649155,-1.830096415,84.3506883,0.012858382,0.127215443,8.851773798,1.17E-16,3.32E-16,-1.32E-16
4,97,-2.338363317,-1.817374871,85.23586568,0.012858382,0.127215443,8.851773798,1.15E-16,3.27E-16,-1.32E-16
4,98,-2.337077479,-1.804653327,86.12104306,0.012858382,0.127215443,8.851773798,1.13E-16,3.23E-16,-1.33E-16
4,99,-2.335791641,-1.791931782,87.00622044,0.012858382,0.127215443,8.851773798,1.11E-16,3.18E-16,-1.34E-16
4,100,-2.334505803,-1.779210238,87.89139782,0.012858382,0.127215443,8.851773798,1.09E-16,3.14E-16,-1.34E-16
